_id,title,userName,productName,headline,rating,text,zipcode,city,productPrice
5fcb09e901aa7c5876ccb5e9,healthhubReviews,jimmy2@gmail.com,Plus-Sized Bariatric Blood Pressure Cuff,Great Product,5,"Great value & quality for the price. Arrived quickly, too. Thanks!",60616,Chicago,22
5fcb0a8e01aa7c5876ccb5ec,healthhubReviews,ashley23@yahoo.com,Vitamin D3  50 mcg Liquid Softgels 2000 IU 90CT,good quality.,5,good quality.,12045,New York,28.49
5fcb0aab01aa7c5876ccb5ee,healthhubReviews,ashley23@yahoo.com,Calm Relax with 300mg Magnesium and 125mg Ashwagandha,"
Great brand, great product",5,This is a great product. I trust this brand more than the store bought brand. Don??t have any side effects when I take it either!,12045,New York,19.99
5fcb0ad301aa7c5876ccb5f0,healthhubReviews,ashley23@yahoo.com,3-Ply Cloth Face Masks 50CT,fits,5,"Inexpensive, has three layers.",12045,New York,14.99
5fcb0af401aa7c5876ccb5f3,healthhubReviews,ashley23@yahoo.com,Nighttime Lubricant Eye Ointment 0.12 OZ,Not bad,4,Not bad,12045,New York,12.99
5fcb0b9701aa7c5876ccb5f5,healthhubReviews,bruce44@gmail.com,TranSport Aluminum Transport Wheelchair,Sturdy Commode,5,"Easy, quick to put together and sturdy. Only thing was, the commode bucket came with a crack in one of the tabs. (It has 4 tabs on it) but it wasn't in a place where it would make the bucket leak or anything. I probably would have sent it back for a replacement bucket, but I needed it next to my bed as I have a broken ankle and am in a wheelchair so can't ambulate to the bathroom at night very well on my own. It works and will be fine.",10003,New York,219.99
5fcb0bad01aa7c5876ccb5f7,healthhubReviews,bruce44@gmail.com,Snack Bars 12CT,Item as described,5,Item as described,10002,New York,22.99
5fcb0bfa01aa7c5876ccb5f9,healthhubReviews,bruce44@gmail.com,TranSport Aluminum Transport Wheelchair, Condition & Assembly,3,Well it looks like it might be okay. BUT MINE ARRIVED WITH THE BUCKET VERY VERY BENT UP AND LOOKS HORRIBLE. I HOPE IT DOESN??T DEVELOP ANY LEAKS FROM ALL THE DENTS IN PLASTIC.,10002,New York,219.99
5fcb0c1701aa7c5876ccb5fb,healthhubReviews,bruce44@gmail.com,Snacks Madagascar Vanilla Almond Bar,great,5,Tasty,10002,New York,5.99
5fcb0c6201aa7c5876ccb5fd,healthhubReviews,bruce44@gmail.com,Snack Bars 12CT,awful,2,unable to eat,10002,New York,22.99
